study_id,study,study_no,study_count,doi,pub_year,pub_title,pub_journal,university_list,university_count,investigation_cat,nation_list,nation_list_count,nation_var,nation_var_count,us_state_list,us_state_list_count,us_state_var,us_state_var_count,uk_country_list,uk_country_list_count,uk_country_var,uk_country_var_count,strategy_list,approach_cat (process),target_list,breadth_cat (outcome),design,principal_indicator_list,principal_indicator_list_count,principal_indicator_var,principal_indiactor_var_count,accessory_indicator_list,accessory_indicator_list_count,accessory_indicator_var,accessory_indicator_var_count,qualifying_indicator_list,qualifying_indicator_list_count,qualifying_indicator_var,qualifying_indicator_var_count,spillover_monitoring_list,spillover_monitoring_list_count,spillover_monitoring_var,spillover_monitoring_var_count,intention_behavior_monitoring
1,"(Alexis et al., 2022)",1,1,10.1080/07448481.2020.1848847,2022,Implementation of a food scholarship program improves nutrient intake and dietary quality of college students,Journal of American College Health,Texas Woman's University,1,Single-site,USA,1,USA,1,Texas,1,Texas,1,NA,0,NA,0,"Environmental Nudge (Availability); Knowledge, Skills, and Beliefs",Multimodal,Agent; Environment,Multi-level,Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health,51,Dietary Health; Campus Culture,2,Demographics; Demographics; Demographics; Demographics; Demographics; Demographics; Demographics; Demographics; ,8,Demographics,1,Behavioral; Behavioral,2,Behavioral,1,NA
2,"(Almousa & Contento, 2023)",1,1,10.1016/j.focus.2023.100064,2023,Pilot study of the feasibility of a worksite plant-based diabetes prevention program,AJPM Focus,Columbia University*,1,Single-site,USA,1,USA,1,New York,1,New York,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health,14,Dietary Health; Campus Culture,2,Demographics; Demographics; Demographics; Demographics; Demographics; Demographics; Lifestyle; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception; Program Reception,15,Demographics; Lifestyle; Program Reception,3,Behavioral; Behavioral; Behavioral,3,Behavioral,1,NA
3,"(Andersson & Nelander, 2021)",1,1,10.3390/g12010002,2021,Nudge the lunch: A field experiment testing menu-primacy effects on lunch choices,Games,Uppsala University,1,Single-site,Sweden,1,Sweden,1,NA,0,NA,0,NA,0,NA,0,Environmental Nudge (Label),Conscious Processes,Environment,Organizatinoal,Within,Observed Food Choice,1,Observed Food Choice,1,NA,0,NA,0,Situational; Situational; Situational; Situational; Situational; Situational,6,Situational,1,NA,0,NA,0,NA
4,"(Appleton, 2016)",1,1,10.1093/pubmed/fdv147,2016,Greater fruit selection following an appearance-based compared with a health-based health promotion poster,Journal of Public Health,Bournemouth University,1,Single-site,UK,1,UK,1,NA,0,NA,0,England,1,England,1,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between,Intended Food Choice; Observed Food Choice;  Self-Reported Food Choice;,3,Food Choice Intentions; Self-Reported Food Choice;  Observed Food Choice,3,Campus Culture; Campus Culture; Campus Culture,3,Campus Culture,1,Demographics; Demographics; Lifestyle; Lifestyle; Lifestyle; Lifestyle; Lifestyle; Program Reception; Program Reception; Program Reception,10,Demographics; Lifestyle; Program Reception,3,NA,0,NA,0,Yes
5,"(Bernardo et al., 2018)",1,1,10.1016/j.appet.2018.08.014,2018,Positive impact of a cooking skills intervention among Brazilian university students: Six months follow-up of a randomized controlled trial,Appetite,Federal University of Santa Catarina*,1,Single-site,Brazil,1,Brazil,1,NA,0,NA,0,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Self-Reported Food Choice,1,Self-Reported Food Choice,1,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Dietary Health,13,Campus Culture; Dietary Health,2,Demographics; Demographics; Demographics; Demographics; Demographics; Demographics; Demographics; Demographics; Demographics; Lifestyle; Lifestyle; Program Reception,12,Demographics; Lifestyle; Program Reception,3,Behavioral; Behavioral; Behavioral; Behavioral; Temporal,5,Behavioral; Temporal,2,NA
6,"(Bevet et al., 2018)",1,1,10.1371/journal.pone.0198162,2018,"You can't ""nudge"" nuggets: An investigation of college late-night dining with behavioral economics interventions",PLOS ONE,University of Vermont,1,Single-site,USA,1,USA,1,Vermont,1,Vermont,1,NA,0,NA,0,Environmental Nudge (Availability),Choice Architecture,Environment,Organizational,Within,Observed Food Choice; Self-Reported Food Choice,2,Observed Food Choice; Self-Reported Food Choice,2,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture; Dietary Health; Guest Dining Experience,9,Campus Culture; Dietary Health; Guest Dining Experience,3,Demographics; Demographics; Lifestyle; Lifestyle; Situational; Situational; Situational; Situational,8,Demographics; Lifestyle; Situational,3,Behavioral,1,Behavioral,1,NA
7,"(Bhurosy et al., 2020)",1,1,10.1016/j.jneb.2020.08.009,2020,A randomized mHealth trial to promote vegetable intake through counting and goal setting,Journal of Nutrition Education and Behavior,Indiana University of Bloomington*,1,Single-site,USA,1,USA,1,Indiana,1,Indiana,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Intended Food Choice; Observed Food Choice; Self-Reported Food Choice,3,Intended Food Choice; Observed Food Choice; Self-Reported Food Choice,3,NA,0,NA,0,Demographics; Demographics; Demographics; Lifestyle; Lifestyle; Lifestyle; Lifestyle; Lifestyle; Program Reception,9,Demographics; Lifestyle; Program Reception,3,NA,0,NA,0,Yes
8,"(Boronowsky et al., 2022)",1,1,10.3389/fsufs.2022.1001157,2022,Plant-based default nudges effectively increase the sustainability of catered meals on college campuses: Three randomized controlled trials,Frontiers in Sustainable Food Systems,"University of California, Los Angeles; University of California, Los Angeles; Harvard University",3,Multi-site,USA; USA; USA,3,USA,1,California; California;  Massachusetts,3,California; Massachusetts,2,NA,0,NA,0,Environmental Nudge (Procedural),Choice Architecture,Environment,Organizational,Between,Observed Food Choice,1,Observed Food Choice,1,Sustainability of Guest Food Choices; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices; Sustainability of Guest Food Choices; ,8,Sustainability of Guest Food Choices,1,NA,0,NA,0,NA,0,NA,0,NA
9,"(Boucher et al., 2015)",1,1,10.1080/08870446.2015.1050393,2015,Effect of an intervention mapping approach to promote the consumption of fruits and vegetables among young adults in junior college: A quasi-experimental study,Psychology & Health,Laval University*,1,Single-site,Canada,1,Canada,1,NA,0,NA,0,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Between and Within,Intended Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Self-Reported Food Choice,2,Campus Culture; Campus Culture; Campus Culture; Campus Culture; Campus Culture,5,Campus Culture,1,Demographics; Demographics; Demographics; Demographics,4,Demographics,1,NA,0,NA,0,Yes
10,"(Brown et al., 2011)",1,1,10.4278/ajhp.091214-quan-389,2011,"Increased self-efficacy for vegetable preparation following an online, skill-based intervention and in-class tasting experience as a part of a general education college nutrition course",American Journal of Health Promotion,Utah State University*,1,Single-site,USA,1,USA,1,Utah,1,Utah,1,NA,0,NA,0,"Knowledge Skills, and Beliefs",Conscious Processes,Agent,Individual,Within,Intended Food Choice; Self-Reported Food Choice,2,Intended Food Choice; Self-Reported Food Choice,2,Campus Culture; Campus Culture; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health; Dietary Health,14,Campus Culture; Dietary Health,2,Demographics; Demographics; Demographics; Demographics; Demographics; Demographics; Lifestyle; Lifestyle; Lifestyle; Lifestyle; Lifestyle; Lifestyle; Lifestyle; Lifestyle,14,Demographics; Lifestyle ,2,NA,0,NA,0,Yes
